Firm Name,Address,Country,Ineligibility Period (From),Ineligibility Period (To),Grounds
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED FENGTAI BRANCH,"3/F, INTEGRATED SERVICE BUILDING, SOUTH OF NO 4 ROAD, FENGTAI ECONOMIC DEVELOPMENT ZONE, HUAINAN CITY, ANHUI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED ZHEJIANG BRANCH河北建设集团股份有限公司浙江分公司,"ROOM 301-1, UNIT 2, BUILDING 1, 360-ZERO SPACE BUILDING, GONGSHU DISTRICT, HANGZHOU CITY, ZHEJIANG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED ZHONGSHAN BRANCH河北建设集团股份有限公司中山分公司,"NO. 2, 3/ F, BUILDING 1, NO 17, XINGGANG SOUTH ROAD, PORT TOWN, ZHONGSHAN  CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED HENAN BRANCH河北建设集团股份有限公司河南分公司,"17 / F, UNIT 1, NO 109, JINSHUI EAST ROAD, ZHENGZHOU (ZHENGDONG), HENAN PILOT FREE TRADE ZONE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED WENZHOU BRANCH河北建设集团股份有限公司温州分公司,"7TH FLOOR, NO.2 JINGCHUAN MIDDLE ROAD, SHUITOU TOWN, PINGYANG COUNTY, WENZHOU CITY, ZHEJIANG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
EXPRESS AUTOMATION LIMITED,"4TH FLOOR, DELTA CORNER ANNEX, P.O. BOX 22709-00400, NAIROBI",Kenya,2022-03-01,2999-12-31,Cross Debarment: AfDB
MR. YUEHUA BAI,"NEXTGEN APARTMENTS, BLOCK B, HOUSE NO. 41, MOMBASA ROAD, NAIROBI",Kenya,2021-10-18,2999-12-31,Cross Debarment: AfDB
"HEBEI HAIKUO ENVIRONMENTAL TECHNOLOGY CO., LTD.河北海阔环境科技有限公司","FLOOR 23, HEBEI CONSTRUCTION BUSINESS CENTER ,NO 125 , LUGANG ROAD, JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"BAODING ZHONGZE WATER SUPPLY CO., LTD.保定市中泽供水有限公司","XIAOMAFANG VILLAGE, ZHUANG TOWN, MANCHENG DISTRICT, BAODING CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"BAODING BOWANG NEW MATERIAL TECHNOLOGY CO., LTD.保定博旺新材料科技有限公司","NO. 3083, TIANWEI WEST ROAD, JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP (NINGBO) SUPPLY CHAIN MANAGEMENT CO., LTD.河北建设集团（宁波）供应链管理有限公司","ROOM A1515-6, WEST BUILDING, NO 111 BINHAI SOUTH ROAD, DAXIE DEVELOPMENT ZONE, NINGBO CITY, ZHEJIANG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED  WEIFANG BRANCH河北建设集团股份有限公司潍坊分公司,"2F, SHOP 1-5, BUILDING 1, NO 12808, LIYUAN STREET, HEALTH EAST STREET COMMUNITY, XINCHENG STREET, WEIFANG HIGH-TECH ZONE, SHANDONG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED LIAOCHENG BRANCH河北建设集团股份有限公司聊城分公司,"ROOM 2172, 17/F, UNIT 2, BUILDING 22, RUNJINGYUAN COMMUNITY, CHANGRUNNAN ROAD, HUXI STREET, LIAOCHENG CITY, SHANDONG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED YANTAI BRANCH河北建设集团股份有限公司烟台分公司,"NO 19, BUILDING A10, NO 35 GANGCHENG WEST STREET, ZHIFU DISTRICT, YANTAI CITY, SHANDONG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED RENQIU BRANCH河北建设集团股份有限公司任丘分公司,"NORTH CHINA OIL FIELD TRANSPORT COMPANY OFFICE BUILDING,  NORTH STATION WEST ROAD, RENQIU CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI TONGCHUANG LIANTAI HOSPITAL MANAGEMENT CO., LTD.河北同创联泰医院管理有限公司","HOSPITAL OF PEOPLE'S, NO 171, JIANKANG EAST ROAD, RAOYANG COUNTY, HENGSHUI CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED ZHUHAI BRANCH河北建设集团股份有限公司珠海分公司,"ROOM 1302 B2, SHENZHEN DEVELOPMENT BUILDING, NO8，YINHUA ROAD, XIANGZHOU DISTRICT, ZHUHAI CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI TIANYU CONSTRUCTION DEVELOPMENT CO., LTD.","GAOBEIDIAN CITY, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"YUNCAI NETWORK TECHNOLOGY CO., LTD.","ROOM 2410, HEBEI CONSTRUCTION BUSINESS CENTER ,NO 125 , LUGANG ROAD, JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"YUNNAN TIANYI CONSTRUCTION CO., LTD.","4 / F, BUILDING J, YINHE SCIENCE PARK, NO 168, YUNJING ROAD, GUOLIN COMMUNITY, LUOYANG SUB-DISTRICT, JINGKAI DISTRICT, KUNMING",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI XINGXI CORPORATE MANAGEMENT CO., LTD.河北兴玺企业管理有限公司","ROOM 206, 2ND FLOOR, CENTRAL HEATING OFFICE, NO.169 AIMIN WEST ROAD, ANCHI DISTRICT, LANGFANG CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"SHAANXI TIANQIN JIANAN ENGINEERING CO., LTD.陕西天秦建安工程有限公司","NO. 221-10, BUILDING 2, CHONGWEN TOWER SCENIC AREA, CHONGWEN TOWN, JINGHE NEW TOWN, XIXIAN NEW DISTRICT, SHAANXI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP TIANFU CONSTRUCTION ENGINEERING CO., LTD.","FLOOR 3, 5-4 BUILDING ,PHASE I OF INDUSTRIAL PLATFORM STANDARDIZED PLANT, NO 3 FUPING COUNTY ECONOMIC DEVELOPMENT ZONE, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP TIANMIAN CONSTRUCTION ENGINEERING CO., LTD.河北建设集团天勉建筑工程有限公司","ROOM 701, BUILDING 6, SCIENCE PARK, HEBEI UNIVERSITY OF TECHNOLOGY, XINGTAI ECONOMIC DEVELOPMENT ZONE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED  JIAOZHOU BRANCH河北建设集团股份有限公司胶州分公司,"ROOM 602, UNIT 2, BUILDING 4, HAIYUN MINGBANG, JIAOZHOU ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, QINGDAO CITY, SHANDONG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED BEIJING NO 8 BRANCH河北建设集团股份有限公司北京八分公司,"NO. 2 GOVERNMENT ROAD, TONGZHOU PARK, ZHONGGUANCUN SCIENCE AND TECHNOLOGY PARK, TONGZHOU DISTRICT, BEIJING",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED FUJIAN BRANCH河北建设集团股份有限公司福建分公司,"UNIT 1104, NO 167, TAPU EAST ROAD, SIMING DISTRICT, XIAMEN",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED QINGYUAN BRANCH河北建设集团股份有限公司庆元分公司,"2-3/F, NO 22, SECOND ROAD, GU CITY, SONGYUAN STREET, QINGYUAN COUNTY,, LISHUI CITY, ZHEJIANG PROVINCE.",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED NINGGUO BRANCH河北建设集团股份有限公司宁国分公司,"NO  5, LVBAO GARDEN CITY WEST PHASE I, SHANMEN NORTH ROAD, NINGGUO CITY, XUANCHENG CITY, ANHUI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED SHITAI BRANCH河北建设集团股份有限公司石台分公司,"ROOM 401, UNIT 2, BUILDING 9, NO 468,JIN QIANSHAN NORTH ROAD, RENLI TOWN, SHITAI COUNTY, CHIZHOU CITY, ANHUI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED DONGGUAN BRANCH河北建设集团股份有限公司东莞分公司,"ROOM 301, 3/F, XINXING BUILDING, KEJI ROAD, NANCHENG DISTRICT, DONGGUAN CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED PINGYUAN BRANCH河北建设集团股份有限公司平原分公司,"NO 2-4, HEJIAXING NORTH EAST SIDE ,LONGMEN STREET, PINGYUAN COUNTY, DEZHOU CITY, SHANDONG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED LUANNAN BRANCH河北建设集团股份有限公司滦南分公司,"NO A18, HANLIN YAYUAN PHASE II, LUANNAN COUNTY, TANGSHAN CITY , HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED BEIJING AIRPORT BRANCH河北建设集团股份有限公司北京机场分公司,"ROOM 501, 5TH FLOOR, NO 2, ELISHENG COMMERCIAL BUILDING, TIANZHU TOWN, SHUNYI DISTRICT, BEIJING",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED AIRPORT BRANCH河北建设集团股份有限公司机场分公司,"ROOM 201, UNIT 3, NO 8, LVYUAN COMMUNITY, QIAOSHIYING TOWN, HELINGER COUNTY, HOHHOT CITY, INNER MONGOLIA AUTONOMOUS REGION",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED XI'AN BRANCH河北建设集团股份有限公司西安分公司,"NO 3 ,CHENGLE EAST ROAD,BAQIAO DISTRICT, XI 'AN CITY, SHAANXI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED DECORATION BRANCH河北建设集团有限公司装饰分公司,"NO.139 WUSI WEST ROAD, JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED BAODING XUSHUI DISTRICT BRANCH河北建设集团股份有限公司保定市徐水区分公司,"NO 46, BUILDING 3, SHANGPIN COMMUNITY, EAST SIDE OF SHENGYUAN STREET, XUSHUI DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED TENGCHONG SHITOUSHAN BRANCH河北建设集团股份有限公司腾冲石头山文胸,"NO. 2, BUILDING 28, MAOJIAYING TENGCHONG XINGHUA INTERNATIONAL LOGISTICS TRADE CITY, DONGPING COMMUNITY, ZHONGHE TOWN, TENGCHONG CITY, BAOSHAN CITY, YUNNAN PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED KUNMING BRANCH河北建设集团股份有限公司昆明分公司,"4 / F, BUILDING J, YINHE SCIENCE AND TECHNOLOGY PARK, NO 168 YUNJING ROAD, LUOYANG SUB-DISTRICT, JINGKAI DISTRICT, KUNMING, CHINA (YUNNAN) PILOT FREE TRADE ZONE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED QINGLONG BRANCH河北建设集团有限公司青龙分公司,"FENGANMINGBAO WEST BUILDING, NO 225 ZUSHAN ROAD ，QINGLONG MANCHU AUTONOMOUS COUNTY, QINHUANGDAO CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HUAINAN FENGRUI INFRASTRUCTURE CONSTRUCTION CO., LTD.淮南凤瑞基础设施建设有限公司","THIRD FLOOR, INTEGRATED SERVICE BUILDING, SOUTH OF NO. 4 ROAD, FENGTAI ECONOMIC DEVELOPMENT ZONE, HUAINAN CITY, ANHUI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED YUNNAN BRANCH河北建设集团股份有限公司云南分公司,"4 / F, BUILDING 2, XINGCHEN PARK, GUANGJU ROAD, GUANDU DISTRICT, KUNMING, CHINA (YUNNAN) FREE TRADE PILOT ZONE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"GUIZHOU TIANZE CONSTRUCTION ENGINEERING CO., LTD.贵州天泽建筑工程有限责任公司","4-17, BUILDING 24, FANJINGSHAN ECO-AGRICULTURAL SCIENCE PARK AND TONGREN YIWU COMMODITY CITY, NO 90 ,GUIHUA AVENUE, RENSHAN STREET, WANSHAN, TONGREN CITY, GUIZHOU PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"CHENGDE CITY FENGYUAN CONCRETE CO., LTD.承德市丰源混凝土有限公司","SHOP 139, BUILDING B, XINHUIWAN TRADE CITY, SHUANGLUAN DISTRICT, CHENGDE CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI ZHUOCHENG ENGINEERING INSPECTION CO., LTD.河北卓诚工程检测有限公司","NO 48 ,FUCHANG ROAD , JIANSHE SOUTH ROAD STREET OFFICE, JINGXIU DISTRICT, BAODING CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"RONGCHENG COUNTY XINRONG CITY DEVELOPMENT CO., LTD.容城县鑫融城市发展有限公司","NO. 2-7, ZHONGJIN GARDEN COMMUNITY, SOUTH OF AOWEI ROAD, RONGCHENG COUNTY, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED TIANSHAN BRANCH河北建设集团股份有限公司天山分公司,"NO 22, ANTAI HOME, EAST HONGXING ROAD, TIANSHAN TOWN, CHIFENG CITY, INNER MONGOLIA AUTONOMOUS REGION",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED BAODING HIGHWAY AND MAINTENANCE BRA河北建设集团股份有限公司保定公路建设养护分公司,"NO 48-1, FUCHANG ROAD, JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED JULU COUNTY BRANCH河北建设集团股份有限公司巨鹿县分公司,"100 METERS EAST OF THE INTERSECTION OF HUANGJIN AVENUE AND XIYUAN ROAD, JULU COUNTY, XINGTAI CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED SHUNPING BRANCH河北建设集团股份有限公司顺平分公司,"NO 3-10 ,COMMERCIAL STREET STORE (2), PUJIN ROAD, SHUNPING COUNTY, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED HEYUAN BRANCH河北建设集团股份有限公司河源分公司,"TUO CHENG CENTER STREET NORTH GATE INTERSECTION, LONGCHUAN COUNTY, HEYUAN CITY, GUANGDONG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED CONCRETE BRANCH河北建设集团股份有限公司混凝土分公司,"NO 3083,  TIANWEI WEST ROAD, JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED CHENGDE SHAUNGLUAN CONCRETE BRANCH河北建设集团股份有限公司承德双滦混凝土分公司,"SANCHA VILLAGE, SHUANGTASHAN TOWN, SHUANGLUAN DISTRICT, CHENGDE CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED RONGCHENG CONCRETE BRANCH河北建设集团有限公司容城混凝土分公司,"XINZHUANG VILLAGE, RONGCHENG  COUNTY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED INFRASTRUCTURE BRANCH河北建设集团股份有限公司基础设施分公司,"NO 125, LUGANG ROAD, JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED SHANXI BRANCH河北建设集团股份有限公司山西分公司,"ROOM 619, NORTH BUILDING, KEYU PIONEER PARK, BUILDING 1, NO 5, INDUSTRIAL ROAD, TAIYUANXUEFU PARK, SHANXI COMPREHENSIVE REFORM DEMONSTRATION",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED JINING BRANCH河北建设集团股份有限公司济宁分公司,"5F, BUILDING B, NEW TOWN DEVELOPMENT, XUZHUANG STREET, NORTH LAKE, JINING CITY, SHANDONG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED TANGSHAN BRANCH河北建设集团股份有限公司唐山分公司,"501S  LUGANG COMMUNITY  TANGSHAN ROAD NORTH DISTRICT, TANGSHAN CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED FENGNAN BRANCH河北建设集团股份有限公司丰南分公司,"TANGSHAN FENGNAN ECONOMIC DEVELOPMENT ZONE, TANGSHAN CITY , HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED  NANGONG BRANCH河北建设集团股份有限公司南宫分公司,"NO 29, HEXIE STREET, XILI JIAZHUANG, NANDU SUB-DISTRICT OFFICE, NANGONG CITY, XINGTAI CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI SHANGBAI CONSTRUCTION ENGINEERING CO., LTD.河北尚佰建筑工程有限公司","03-211, BUILDING 2, ZONE A, SMART SEA INDUSTRIAL PARK HEADQUARTERS,FENGQI STREET, BAODING INDUSTRIAL PARK, LIANCHI DISTRICT, BAODING CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP ZHICHUANG CONSTRUCTION ENGINEERING CO., LTD.河北建设集团智创建筑工程有限公司","ROOM 1801, BUSINESS BUILDING, NO. 125 LUGANG ROAD, GAOKAI DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP ZHUOXIN CONSTRUCTION ENGINEERING CO., LTD.河北建设集团卓昕建筑工程有限公司","ROOM 112, COMPLEX BUILDING 1, HENGSHUI TECHNOLOGY VALLEY, NO. 1999, YANGYUAN EAST ROAD, HIGH-TECH ZONE, HENGSHUI CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI XINDACHENG REAL ESTATE DEVELOPMENT CO., LTD.河北信达诚房地产开发有限公司","NO. 125 , LUGANG ROAD ,JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI ZHIPING CONSTRUCTION EQUIPMENT LEASING CO., LTD.河北治平建筑设备租赁有限公司","NO. 151, FUCHANG ROAD, JINGXIU DISTRICT, BAODING CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP JILIN ENGINEERING CO., LTD.河北建设集团吉林工程有限公司","NO. 50, TUANSHAN STREET, KUANCHENG DISTRICT, CHANGCHUN CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP TIANYONG CONSTRUCTION ENGINEERING CO., LTD.河北建设集团天永建筑工程有限公司","ROOM 107, 108, 109 SHOPS, UNIT 1, COMMERCIAL S3 BUILDING, HONGAN XINYUAN COMMUNITY, GU 'AN COUNTY, LANGFANG CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP BINGZHENG CONSTRUCTION ENGINEERING CO., LTD.河北秉正建筑工程有限公司","NO. 125, LUGANG ROAD, JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI TIANYING CONSTRUCTION ENGINEERING CO., LTD.","ROOM 1208, BLOCK A, NO.1 CHANGJIANG ROAD, TIANSHAN SCIENCE PARK, NO 530 YUHUA EAST ROAD, HIGH-TECH ZONE, SHIJIAZHUANG CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP INFRASTRUCTURE CONSTRUCTION CO., LTD.河北建设集团基础设施建设有限公司","NO. 956, JINGXIU STREET, BAODING CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"SHANDONG JUHE AGRICULTURAL SERVICE DEVELOPMENT CO., LTD.山东巨禾农业服务发展有限责任公司","HUANGZHUANG ADMINISTRATIVE VILLAGE, XIAOJING TOWN, DONGMING COUNTY, HEZE CITY, SHANDONG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP TIANDING CONSTRUCTION AND INSTALLATION ENGINEERING CO.,河北建设集团天鼎建筑安装工程有限公司","OFFICE 306, COMPREHENSIVE OFFICE BUILDING, WEST OF XICHANG ROAD AND SOUTH OF ANMING ROAD, ANCI HIGH-TECH INDUSTRIAL PARK, ANXI DISTRICT, LANGFANG CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED DINGXING BRANCH河北建设集团股份有限公司定兴分公司,"ROOM 4011, BUILDING 2, ZHONGHUI CITY PLAZA, YINGBIN STREET WEST , NANHUAN ROAD NORTH, DINGXING COUNTY, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED LAIYUAN BRANCH河北建设集团股份有限公司涞源分公司,"NO 112, GUANGPING STREET, LAIYUAN TOWN, LAIYUAN COUNTY, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED BEIJING NO 3 BRANCH河北建设集团股份有限公司北京三分公司,"ROOM 2908, 2 / F, BUILDING 15, NO 55, LONGHUA STREET, DAXING DISTRICT, BEIJING",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED SUZHOU BRANCH河北建设集团股份有限公司苏州分公司,"ROOM 415, BUILDING 1, NO 18, QIHONG ROAD, SUZHOU INDUSTRIAL PARK",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED WUXI BRANCH河北建设集团股份有限公司无锡分公司,"ROOM 315, NO 888, HONGQIAO ROAD, BINHU DISTRICT, WUXI CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED DEZHOU BRANCH河北建设集团股份有限公司德州分公司,"NO 506, 5TH FLOOR, GRAIN LOGISTICS COMPLEX BUILDING, COMMERCE AVENUE, CANAL STREET SUB-DISTRICT, DEZHOU CITY, SHANDONG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED SHIJIAZHUANG ARCHITECTURAL河北建设集团有限公司石家庄建筑,"ROOM 2-811, WANDA PLAZA BUSINESS COMPLEX BUILDING, NO 123, HUAIAN EAST ROAD, YUHUA DISTRICT, SHIJIAZHUANG CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED ARCHITECTURAL DESIGN AND RESEARCH I河北建设集团股份有限公司建筑设计研究院分公司,"NO 139, WUSI WEST ROAD, JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED GAOYI BRANCH河北建设集团股份有限公司高邑分公司,"NO 1, HUIFEGNYUAN COMMERCIAL BUILDING, GAOYI TOWN, GAOYI COUNTY,, SHIJIAZHUANG, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED GARDEN BRANCH河北建设集团有限公司花园分公司,"NO 125 , LUGANG ROAD ,JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED BEIJING NO 7 BRANCH河北建设集团股份有限公司北京七分公司,"NO 18, WITHIN BADALING TOWN GOVERMENT , YANQING DISTRICT,, BEIJING",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED YUTIAN BRANCH河北建设集团股份有限公司玉田分公司,"FULE VILLAGE WEST, YUTIAN COUNTY, TANGSHAN CITY , HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED  HUBEI BRANCH河北建设集团股份有限公司湖北分公司,"NO 10, 3RD FLOOR , UNIT 1, BUILDING 1, HUANLEXINGCHENG COMMUNITY, HUANGLE  ROAD, WEIJIAWAN ,HONGSHAN DISTRICT,, HUBEI",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED HEFENG BRANCH河北建设集团股份有限公司鹤峰分公司,"NO 157, YANHE ROAD, RONGMEI TOWN, HEFENG COUNTY, HUBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED LUSHAN BRANCH河北建设集团股份有限公司庐山分公司,"EAST SIDE OF BIGUIYUAN,JINGJIU  ROAD, HEDONG VILLAGE, BAILU TOWN, LUSHAN CITY, JIUJIANG CITY, JIANGXI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
